Long,Lat,Date,BirdID,Fix
-77.9415,18.041,2/1/17,208,167
-77.9418,18.0408,2/1/17,153,168
-77.9425,18.0404,2/1/17,174,169
-77.9407,18.0402,2/1/17,194,170
-77.9407,18.0404,2/1/17,208,171
-77.9407,18.0402,2/1/17,153,172
-77.9359,18.0395,2/2/17,169,173
-77.932,18.0411,2/2/17,89,174
-77.9357,18.0367,2/2/17,169,175
-77.9357,18.0355,2/2/17,114,176
-77.9352,18.0327,2/2/17,302,177
-77.9348,18.0332,2/2/17,114,178
-77.9353,18.0354,2/2/17,169,179
-77.9318,18.041,2/2/17,89,180
-77.9348,18.0333,2/2/17,302,181
-77.9352,18.033,2/2/17,114,182
-77.935,18.0354,2/2/17,169,183
-77.9318,18.0411,2/2/17,89,184
-77.9356,18.0354,2/2/17,169,185
-77.935,18.0331,2/2/17,114,186
-77.935,18.0332,2/2/17,302,187
-77.9429,18.044,1/28/17,153,188
-77.9355,18.0332,2/1/17,302,189
-77.9352,18.0358,2/1/17,169,190
-77.9349,18.0362,2/1/17,169,191
-77.9405,18.0452,2/2/17,46,192
-77.94,18.0402,2/2/17,194,193
-77.9417,18.0406,2/2/17,174,194
-77.9428,18.0438,2/2/17,153,195
-77.9425,18.0464,2/2/17,54,196
-77.9411,18.0443,2/2/17,46,197
-77.94,18.0427,2/2/17,146,198
-77.9429,18.0442,2/2/17,153,199
-77.9434,18.0464,2/2/17,54,200
-77.9415,18.0442,2/2/17,46,201
-77.9407,18.04,2/2/17,194,202
-77.9412,18.0406,2/2/17,174,203
-77.9437,18.0401,2/2/17,128,204
-77.9428,18.0443,2/2/17,153,205
-77.9355,18.0369,2/3/17,169,206
-77.9323,18.0422,2/3/17,89,207
-77.9359,18.0351,2/3/17,169,208
-77.9353,18.033,2/3/17,114,209
-77.9358,18.0331,2/3/17,302,210
-77.9312,18.0407,2/3/17,89,211
-77.9352,18.033,2/3/17,114,212
-77.9353,18.033,2/3/17,302,213
-77.9391,18.0429,2/3/17,146,214
-77.9428,18.0459,2/3/17,54,215
-77.9429,18.0444,2/3/17,153,216
-77.94,18.0432,2/3/17,146,217
-77.943,18.046,2/3/17,54,218
-77.9355,18.0374,2/4/17,169,219
-77.9357,18.0367,2/4/17,114,220
-77.9317,18.0416,2/4/17,89,221
-77.9353,18.0357,2/4/17,169,222
-77.935,18.0348,2/4/17,114,223
-77.9344,18.0322,2/4/17,302,224
-77.935,18.0333,2/4/17,114,225
-77.9358,18.0355,2/4/17,169,226
